If you choose to become intoxicated (in any form), we will be taking your car keys and ask that you camp overnight. This is the case for most people so it isn't a big deal. The road back to town is dark and windy at night and we don't want anyone driving back to town intoxicated and getting into an accident on 4th of July weekend.

It should also be noted that this is a dairy that is in full operation. There are cows, chickens, dogs, and turkeys. Please do not do anything to the animals or the property that would cause harm. Since there are animals on the property, there are also fences, barbed wire, and random bits of metal about. Please be careful, watch where you are walking, and bring good shoes. We will have lights setup around certain areas to prevent you from tripping or getting hurt. Thanks!
Date,Time,Time Zone,Gross Sales,Net Sales,Tax,Tip,Total Collected,Card,Cash,Fees,Net Total,Transaction ID,Description,Event Type,Location,Initial Fees,Fee Plan,Fee Percentage Rate,Fee Fixed Rate
2022-12-20,11:56:25,Mountain Time (US & Canada),$55.00,$55.00,$0.55,$0.00,$55.55,$55.55,$0.00,-$1.91,$53.64,UrTkMNhefqx2sJJIS6BTPK5eV,"Gift Box (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included.",Payment,Farm,-$1.91,Blended Rate,2.9,$0.30
2022-12-20,11:22:47,Mountain Time (US & Canada),$75.00,$75.00,$1.33,$0.00,$76.33,$76.33,$0.00,-$2.51,$73.82,yUi3rS9hmzgrOQTsg5bApZqeV,"Gift Box (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included., shipping (Regular)",Payment,Farm,-$2.51,Blended Rate,2.9,$0.30
2022-12-20,8:29:17,Mountain Time (US & Canada),$150.00,$150.00,$2.66,$0.00,$152.66,$152.66,$0.00,-$4.73,$147.93,SkKbz2835nrNifgw3lJPtU3eV,"2 x Gift Box (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included., 2 x shiping",Payment,Farm,-$4.73,Blended Rate,2.9,$0.30
2022-12-19,9:01:26,Mountain Time (US & Canada),$165.00,$165.00,$0.00,$0.00,$165.00,$165.00,$0.00,-$5.09,$159.91,RoYJBBb3Wi4PKIp198gGIA3eV,"3 x Gift Box (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included.",Payment,Steamboat Springs,-$5.09,Blended Rate,2.9,$0.30
2022-12-17,15:41:07,Mountain Time (US & Canada),$20.00,$20.00,$1.53,$0.00,$21.53,$21.53,$0.00,-$0.66,$20.87,Na6HAK9Wj37gCT17Pxkua47eV,"Custom Amount, Snack Sticks (Regular)",Payment,Steamboat Springs,-$0.66,Blended Rate,2.6,$0.10
2022-12-17,15:33:54,Mountain Time (US & Canada),$8.00,$8.00,$0.38,$0.00,$8.38,$0.00,$8.38,$0.00,$8.38,949vijCPOkQHVaMn9K0e4bseV,"Fromage Blanc Garlic & Herb (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch, or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Steamboat Springs,$0.00,,,
2022-12-17,15:29:15,Mountain Time (US & Canada),$12.30,$12.30,$0.58,$0.00,$12.88,$12.88,$0.00,-$0.43,$12.45,LD1g7UrVvh1vI9SeEGKAZZgeV,0.41 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Steamboat Springs,-$0.43,Blended Rate,2.6,$0.10
2022-12-17,15:15:49,Mountain Time (US & Canada),$10.00,$10.00,$0.77,$0.00,$10.77,$10.77,$0.00,-$0.38,$10.39,B4oHPV5ljVJoYP232xbY8ZweV,Snack Sticks (Regular),Payment,Steamboat Springs,-$0.38,Blended Rate,2.6,$0.10
2022-12-17,15:13:10,Mountain Time (US & Canada),$12.60,$12.60,$0.60,$0.00,$13.20,$13.20,$0.00,-$0.44,$12.76,xsS5pvY6EFwrbpyUAeD2U1meV,0.36 lb x Ghost Of Monte Pilgrim (Regular) - Montasio style cheese hand rubbed with local Routt county honey. aged for at least 60 days.,Payment,Steamboat Springs,-$0.44,Blended Rate,2.6,$0.10
2022-12-17,15:06:05,Mountain Time (US & Canada),$13.50,$13.50,$0.64,$0.00,$14.14,$14.14,$0.00,-$0.47,$13.67,zvNmpvzErIINPJWLY7SX69yeV,0.45 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Steamboat Springs,-$0.47,Blended Rate,2.6,$0.10
2022-12-17,14:56:17,Mountain Time (US & Canada),$10.00,$10.00,$0.77,$0.00,$10.77,$0.00,$10.77,$0.00,$10.77,FKYtARBpeHAQwzbKnlGuFEfeV,Snack Sticks (Regular),Payment,Steamboat Springs,$0.00,,,
2022-12-17,14:53:47,Mountain Time (US & Canada),$12.60,$12.60,$0.60,$0.00,$13.20,$0.00,$13.20,$0.00,$13.20,j7xhA35VZEto4WJRijV2rvheV,0.42 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Steamboat Springs,$0.00,,,
2022-12-17,14:29:03,Mountain Time (US & Canada),$29.60,$29.60,$2.27,$0.00,$31.87,$31.87,$0.00,-$0.93,$30.94,1u67qGt3nqIWcsm16WaCREmeV,Custom Amount,Payment,Steamboat Springs,-$0.93,Blended Rate,2.6,$0.10
2022-12-17,14:16:13,Mountain Time (US & Canada),$14.40,$14.40,$0.68,$2.16,$17.24,$17.24,$0.00,-$0.55,$16.69,3hDZDF6HuxZfOwfR8KuFbmueV,0.48 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Steamboat Springs,-$0.55,Blended Rate,2.6,$0.10
2022-12-17,14:15:33,Mountain Time (US & Canada),$65.00,$65.00,$3.38,$0.00,$68.38,$68.38,$0.00,-$1.88,$66.50,HDuaC85J59T2WP8ZOoIrFZ0eV,"Custom Amount, Gift Box (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included.",Payment,Steamboat Springs,-$1.88,Blended Rate,2.6,$0.10
2022-12-17,13:55:36,Mountain Time (US & Canada),$25.00,$25.00,$1.91,$0.00,$26.91,$26.91,$0.00,-$0.80,$26.11,56DT9W1EMPQgZ41FfjIIhx4eV,"Jerky (Regular), Snack Sticks (Regular)",Payment,Steamboat Springs,-$0.80,Blended Rate,2.6,$0.10
2022-12-17,13:46:50,Mountain Time (US & Canada),$20.00,$20.00,$1.53,$0.00,$21.53,$21.53,$0.00,-$0.66,$20.87,v7efVIbAUlUr2DFhYOubZcheV,Custom Amount,Payment,Steamboat Springs,-$0.66,Blended Rate,2.6,$0.10
2022-12-17,13:33:21,Mountain Time (US & Canada),$19.50,$19.50,$0.93,$0.00,$20.43,$0.00,$20.43,$0.00,$20.43,HtjWIugx4Lk8mgE2IQLIfQteV,0.65 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Steamboat Springs,$0.00,,,
2022-12-17,13:25:12,Mountain Time (US & Canada),$20.90,$20.90,$0.99,$3.14,$25.03,$25.03,$0.00,-$0.75,$24.28,3XSnPIFC4VCtDVf8Eb6iR76eV,"0.43 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise., Fromage Blanc Green Chile (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Steamboat Springs,-$0.75,Blended Rate,2.6,$0.10
2022-12-17,13:15:17,Mountain Time (US & Canada),$28.50,$28.50,$1.35,$0.00,$29.85,$0.00,$29.85,$0.00,$29.85,TlOba8iYkEKZKHgpCXn0xWAfV,0.95 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Steamboat Springs,$0.00,,,
2022-12-17,13:10:32,Mountain Time (US & Canada),$15.60,$15.60,$0.74,$0.00,$16.34,$0.00,$16.34,$0.00,$16.34,tCIWlFtWuuhICxNv04EVxfneV,0.52 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Steamboat Springs,$0.00,,,
2022-12-17,13:05:41,Mountain Time (US & Canada),$70.00,$70.00,$3.76,$0.00,$73.76,$73.76,$0.00,-$2.02,$71.74,rhSVgcVnBE2bpKtbuuijgKoeV,"Gift Box (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included., Jerky (Regular)",Payment,Steamboat Springs,-$2.02,Blended Rate,2.6,$0.10
2022-12-17,12:23:57,Mountain Time (US & Canada),$13.44,$13.44,$0.64,$0.00,$14.08,$0.00,$14.08,$0.00,$14.08,NqSDGMbWOsNh3lZz0OtGB2zeV,0.48 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.,Payment,Steamboat Springs,$0.00,,,
2022-12-17,11:55:51,Mountain Time (US & Canada),$7.80,$7.80,$0.37,$0.00,$8.17,$8.17,$0.00,-$0.31,$7.86,hWVUkjgqlaz5Ka6dYkSzZqmeV,0.26 lb x Joe (Regular Price) - California style dry-jack cheese hand rubbed with a locally roasted coffee and cocoa powder.,Payment,Steamboat Springs,-$0.31,Blended Rate,2.6,$0.10
2022-12-17,11:38:57,Mountain Time (US & Canada),$23.42,$23.42,$1.11,$0.00,$24.53,$24.53,$0.00,-$0.74,$23.79,N0jl2H4fHTM7hfMqDOe4PFweV,"0.37 lb x Joe (Regular Price) - California style dry-jack cheese hand rubbed with a locally roasted coffee and cocoa powder., 0.44 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise.",Payment,Steamboat Springs,-$0.74,Blended Rate,2.6,$0.10
2022-12-17,11:32:58,Mountain Time (US & Canada),$34.32,$34.32,$1.98,$0.00,$36.30,$0.00,$36.30,$0.00,$36.30,bv9lsKfFWiYeyPlHbNiQZzjeV,"0.44 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise., Feta (Regular) - Made with raw cow's milk and aged in brine for 1 year, this feta is for from the traditional Mediterranean cheese. Tangy and salty this feta will be a highlight of any salad., Custom Amount",Payment,Steamboat Springs,$0.00,,,
2022-12-17,11:15:01,Mountain Time (US & Canada),$20.88,$20.88,$0.99,$0.00,$21.87,$21.87,$0.00,-$0.67,$21.20,1G0QbxkX173wacBN4ePmSOleV,"0.46 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise., Fromage Blanc Green Chile (Regular) - Fromage Blanc is one of our signature products. This fresh whipped cheese is perfect to spread on a bagel in the morning, mix into soup at lunch or dollop on pasta during dinner. This is always a crowd-pleaser. Be sure to check out all the delicious flavors!",Payment,Steamboat Springs,-$0.67,Blended Rate,2.6,$0.10
2022-12-17,10:51:52,Mountain Time (US & Canada),$14.70,$14.70,$0.70,$0.00,$15.40,$0.00,$15.40,$0.00,$15.40,xIyku1MMnt2M7o6nvCBAqy2eV,0.42 lb x Ghost Of Monte Pilgrim (Regular) - Montasio style cheese hand rubbed with local Routt county honey. aged for at least 60 days.,Payment,Steamboat Springs,$0.00,,,
2022-12-17,10:50:57,Mountain Time (US & Canada),$25.00,$25.00,$1.91,$0.00,$26.91,$0.00,$26.91,$0.00,$26.91,hoigV1WxHsbNHIogoFx2FnjeV,"Jerky (Regular), Snack Sticks (Regular)",Payment,Steamboat Springs,$0.00,,,
2022-12-17,10:21:59,Mountain Time (US & Canada),$24.55,$24.55,$1.46,$0.00,$26.01,$0.00,$26.01,$0.00,$26.01,3tbUeEh5ZGeW8eICXbfH5oteV,"0.52 lb x Alpenbert (Regular Price) - Soft-bloomy rind triple-creme brie that will transport you to a creamy paradise., Snack Sticks (Regular)",Payment,Steamboat Springs,$0.00,,,
2022-12-17,10:13:23,Mountain Time (US & Canada),$20.00,$20.00,$1.53,$0.00,$21.53,$21.53,$0.00,-$0.66,$20.87,12I21kq6ES9GQtJo6vteBfneV,Custom Amount,Payment,Steamboat Springs,-$0.66,Blended Rate,2.6,$0.10
2022-12-12,18:10:11,Mountain Time (US & Canada),$182.50,$182.50,$3.34,$0.00,$185.84,$185.84,$0.00,-$5.69,$180.15,0hesMaPnHWyt86saLSDVEYkeV,"Gift Box Large (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included. Lare box gets an additional summer sausage and small Alpine Feta., Gift Box (Regular) - Makes a great gift for any food lover. comes with 5 different pieces of cheese to get a taste of Routt County. Fromage Blanc Plain & Garlic and Herb, Joe, Colorado Elkhorn and, Alpenbert included., 3 x shiping",Payment,Farm,-$5.69,Blended Rate,2.9,$0.30
